gen	pop	freqMut	ScoefMut	DcoefMut	Ne	hmode	prod	U	rho	seed
40000	1	0.0125625	0.0312339	0.142723	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00603132	0.575706	0.00269652	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0128291	0.0139526	0.178685	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0196601	0.0418887	0.0425864	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.138987	0.000268065	0.254723	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0245918	0.00140642	0.196974	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00519827	0.0114019	0.280018	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0836388	0.00238261	0.188753	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0124292	0.0510014	0.00203936	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.011996	0.33461	0.000890919	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00503166	0.163367	0.0373341	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0113962	0.232311	0.0170692	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.158647	8.94867e-05	0.415139	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0138287	0.00549979	0.368139	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.021093	0.00392149	0.475713	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00849717	0.0518304	0.125314	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0201599	0.0195617	0.0451008	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0122626	0.0248675	0.0696065	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0468177	0.0389408	0.0124974	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00756415	0.400263	0.0154965	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0968344	0.000856526	0.495582	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
